cod_ue_id,desc_ue,distrito,area,desc_departamento,estadoinstitucion,Latitud,Longitud,distance_border_km,rank_border,prioridad_frontera
60710019,LUPIRANA,CALACOTO,RURAL,La Paz,Abierta,-17.319712613085475,-68.7010047435756,95.53854221359417,1207,MEDIA
80720118,TOLA TOLA,ACHACACHI,RURAL,La Paz,Abierta,-16.103599548339844,-68.70661926269531,95.54885287462912,1208,MEDIA
80720143,KILUSA,ACHACACHI,RURAL,La Paz,Abierta,-15.93220043182373,-68.70738220214844,95.5492779475755,1209,MEDIA
80680006,AVISPAYA,SORATA,RURAL,La Paz,Abierta,-15.685967733405,-68.70799756050098,95.59966520863992,1210,MEDIA
81710035,LIBERTADOR SIMON BOLIVAR 1,YACUIBA,URBANO,Tarija,Abierta,-22.041200637817383,-63.68147277832031,95.60154499816878,1211,MEDIA
81710085,LIBERTADOR SIMON BOLIVAR 2,YACUIBA,URBANO,Tarija,Abierta,-22.041200637817383,-63.68147277832031,95.60154499816878,1212,MEDIA
60690023,SISILLANI,AUCAPATA,RURAL,La Paz,Abierta,-15.42169952392578,-68.70899963378906,95.61493939427656,1213,MEDIA
62470015,VILLA BELLA,AROYO GRANDE(C. FILADELFIA)/ SAN PABLO (C. SAN PEDRO),RURAL,Pando,Abierta,-11.447099685669,-68.72346496581997,95.63493575447002,1214,MEDIA
80720059,QUENAQUETARA,ACHACACHI,RURAL,La Paz,Abierta,-15.99899959564209,-68.7061767578125,95.64640529569665,1215,MEDIA
72480015,SERAFIN CASTEDO,CAMPO ANA (C. PORVENIR)/(COSTA RICA (C. BELLA,RURAL,Pando,Abierta,-11.216500282288,-68.72403717040999,95.64961937828802,1216,MEDIA
60690004,KAYLLAHUNUYOJ,AUCAPATA,RURAL,La Paz,Abierta,-15.46660041809082,-68.70844268798828,95.6539941996393,1217,MEDIA
80720055,TUNUSI,ACHACACHI,RURAL,La Paz,Abierta,-16.079606755125624,-68.70568780859378,95.66002882487396,1218,MEDIA
80690063,YURO,CHUMA,RURAL,La Paz,Abierta,-15.7202525019439,-68.7068698508503,95.70442464449663,1219,MEDIA
81870001,PILOTO NRO. 1,SAN MATIAS,URBANO,Santa Cruz,Abierta,-16.360593432527033,-58.39636945724442,95.7433939063753,1220,MEDIA
81870051,CRISTO REY,SAN MATIAS,URBANO,Santa Cruz,Abierta,-16.361617703205965,-58.39637482166313,95.74346440382685,1221,MEDIA
80660183,GERMAN BUSCH,JESUS DE MACHACA,RURAL,La Paz,Abierta,-16.77567136682181,-68.70144039392443,95.77069223502102,1222,MEDIA
20710013,TUNIZCOTA,CAQUIAVIRI/NAZACARA DE PACAJES,RURAL,La Paz,Abierta,-16.972697725506638,-68.70048624277075,95.77243722188285,1223,MEDIA
80660184,FRANZ TAMAYO,JESUS DE MACHACA,RURAL,La Paz,Abierta,-16.774389542927185,-68.70111858844712,95.80563715382023,1224,MEDIA
80710057,CHALLA BELEN,CORO CORO/ WALDO BALLIVIAN (A. TUMARAPI),RURAL,La Paz,Abierta,-17.179500579834,-68.699028015137,95.8213960756757,1225,MEDIA
81720065,REDENCION,PADCAYA,RURAL,Tarija,Abierta,-22.039100646973,-64.80142974853499,95.83531597896538,1226,MEDIA
81870009,SAN FRANCISCO,SAN MATIAS,RURAL,Santa Cruz,Abierta,-16.319294549586566,-58.39708542823775,95.84011955668849,1227,MEDIA
72480046,NICOLAS SUAREZ,CAMPO ANA (C. PORVENIR)/(COSTA RICA (C. BELLA,RURAL,Pando,Abierta,-11.219247650498394,-68.72155308723451,95.9199533972186,1228,MEDIA
72440016,24 DE JUNIO,NUEVO MANOA (C. NUEVA ESPERANZA)/ VILLA NUEVA/EUREKA (C.SAN),RURAL,Pando,Abierta,-10.561699867248,-65.71060943603499,95.92442922204748,1229,MEDIA
62470067,4 DE OCTUBRE,AROYO GRANDE(C. FILADELFIA)/ SAN PABLO (C. SAN PEDRO),RURAL,Pando,Abierta,-11.865148401151211,-68.71942071875003,95.93168307945339,1230,MEDIA
81870045,ANGEL SANDOVAL,SAN MATIAS,URBANO,Santa Cruz,Abierta,-16.360867116046,-58.39842927455902,95.9632734162892,1231,MEDIA
80720058,BELEN A,ACHACACHI,RURAL,La Paz,Abierta,-16.018199920654297,-68.70276641845703,96.00210892818016,1232,MEDIA
81710096,LIBERTADOR SIMON BOLIVAR 4,YACUIBA,URBANO,Tarija,Abierta,-22.037399291992188,-63.68288803100586,96.02471081542953,1233,MEDIA
72440020,9 DE OCTUBRE,NUEVO MANOA (C. NUEVA ESPERANZA)/ VILLA NUEVA/EUREKA (C.SAN),RURAL,Pando,Abierta,-10.5629259217969,-65.728455352551,96.06091361443099,1234,MEDIA
80720120,BELEN B,ACHACACHI,RURAL,La Paz,Abierta,-16.01819436710231,-68.70205950736965,96.07774960347913,1235,MEDIA
80720195,HUATAJATA SECUNDARIO,HUARINA,RURAL,La Paz,Abierta,-16.208099365234,-68.70112609863298,96.08557669179196,1236,MEDIA
60680001,JULIO CORDERO VILLAVICENCIO,TACACOMA/ QUIABAYA,RURAL,La Paz,Abierta,-15.637480342904,-68.70304560661401,96.15319802357968,1237,MEDIA
60680007,CHACAMBAYA,TACACOMA/ QUIABAYA,RURAL,La Paz,Abierta,-15.591600418091,-68.70322418212902,96.15557143308759,1238,MEDIA
80720061,CHURUHUATA,ACHACACHI,RURAL,La Paz,Abierta,-16.020026638787332,-68.70106482505781,96.1832954210902,1239,MEDIA
70690022,MILLISI,AYATA,RURAL,La Paz,Abierta,-15.326199531555,-68.704086303711,96.18626976607757,1240,MEDIA
