cod_ue_id,desc_ue,distrito,area,desc_departamento,estadoinstitucion,latitud,longitud
70670028,SAN ANTONIO DE SUCHEZ,PELECHUCO,RURAL,La Paz,Abierta,-14.819266112517129,-69.33396329773055
70670005,UCHA UCHA,PELECHUCO,RURAL,La Paz,Abierta,-15.095600128173828,-69.22795104980469
82440001,MANUEL ESTREMADOIRO MARTINEZ,NUEVO MANOA (C. NUEVA ESPERANZA)/ VILLA NUEVA/EUREKA (C.SAN),RURAL,Pando,Abierta,-10.058099746704,-65.34054565429699
71850009,SAN PEDRITO,PUERTO QUIJARRO,RURAL,Santa Cruz,Abierta,-19.03510093689,-57.71200942993198
80550004,QUEQUESANI,SANTIAGO DE MACHACA/CATACORA,RURAL,La Paz,Abierta,-17.10853797976727,-69.27256381511688
81720089,EL TIGRE,PADCAYA,RURAL,Tarija,Abierta,-22.554760670944,-64.28190946579002
80700109,TAGACHI,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.455314036317674,-69.29383438825641
81940046,LOS CEDROS,SAN JOSE (C. SAN JOSE DE CHIQUITOS),URBANO,Santa Cruz,Abierta,-14.677925424961256,-69.95819091796876
71720047,LA FLORIDA,BERMEJO,RURAL,Tarija,Abierta,-22.634799957275,-64.35335540771501
71850001,MAXIMILIANO PAREDES,PUERTO QUIJARRO,URBANO,Santa Cruz,Abierta,-19.002799987793,-57.71745681762701
71720004,ANTONIO JOSE DE SUCRE,BERMEJO,URBANO,Tarija,Abierta,-22.726390599040283,-64.33705586195026
81850034,MIGUEL SUAREZ ARANA MAÑANA,PUERTO SUAREZ,URBANO,Santa Cruz,Abierta,-18.968799591064,-57.79478454589798
71850003,FENELON SUAREZ ROMAN,PUERTO QUIJARRO,URBANO,Santa Cruz,Abierta,-19.006900787354,-57.72148132324202
71850019,SAN AGUSTIN,PUERTO QUIJARRO,URBANO,Santa Cruz,Abierta,-19.008100509644,-57.71261215210001
71720051,OCTAVIO CAMPERO ECHAZU II,BERMEJO,URBANO,Tarija,Abierta,-22.734399795532,-64.33236694335903
71720031,OCTAVIO CAMPERO ECHAZU,BERMEJO,URBANO,Tarija,Abierta,-22.734399795532,-64.33236694335903
81850058,MADRE CLARA RICCI 1,PUERTO SUAREZ,URBANO,Santa Cruz,Abierta,-18.973100662231445,-57.79323196411133
81850043,MADRE CLARA RICCI,PUERTO SUAREZ,URBANO,Santa Cruz,Abierta,-18.973100662231445,-57.79323196411133
81850057,MADRE CLARA RICCI 2,PUERTO SUAREZ,URBANO,Santa Cruz,Abierta,-18.973100662231445,-57.79323196411133
81981691,INTERNACIONAL DEL ORIENTE  ,SANTA CRUZ 2,URBANO,Santa Cruz,Abierta,0.9228116626857066,-67.71972656250001
62440031,SANTA ROSA,NUEVO MANOA (C. NUEVA ESPERANZA)/ VILLA NUEVA/EUREKA (C.SAN),RURAL,Pando,Abierta,-10.032902973130623,-66.57571344335986
70670027,PLAN AEROPUERTO,PELECHUCO,RURAL,La Paz,Abierta,-15.037420773751434,-69.2610976900794
